iter	Passed	Remaining
634	4645	7425
635	4651	7416
636	4658	7408
637	4665	7400
638	4672	7392
639	4679	7384
640	4686	7377
641	4694	7370
642	4702	7363
643	4709	7356
644	4716	7349
645	4723	7341
646	4731	7334
647	4738	7326
648	4745	7319
649	4751	7310
650	4759	7303
651	4766	7296
652	4773	7287
653	4779	7279
654	4786	7271
655	4794	7265
656	4801	7256
657	4809	7250
658	4817	7244
659	4825	7238
660	4834	7232
661	4841	7225
662	4849	7220
663	4858	7214
664	4865	7207
665	4872	7199
666	4879	7191
667	4887	7184
668	4894	7176
669	4901	7169
670	4908	7162
671	4915	7153
672	4922	7146
673	4930	7139
674	4936	7131
675	4944	7124
676	4951	7116
677	4957	7107
678	4965	7101
679	4973	7094
680	4980	7087
681	4988	7079
682	4995	7072
683	5002	7064
684	5009	7056
685	5015	7048
686	5023	7041
687	5029	7033
688	5036	7024
689	5042	7016
690	5050	7009
691	5057	7001
692	5065	6994
693	5072	6988
694	5081	6982
695	5089	6975
696	5097	6970
697	5105	6964
698	5113	6956
699	5119	6948
700	5127	6941
701	5134	6933
702	5141	6925
703	5148	6918
704	5155	6910
705	5161	6901
706	5169	6894
707	5176	6887
708	5183	6880
709	5191	6873
710	5198	6865
711	5205	6858
712	5212	6850
713	5220	6843
714	5226	6834
715	5234	6828
716	5241	6820
717	5248	6812
718	5255	6804
719	5262	6796
720	5270	6790
721	5277	6782
722	5283	6774
723	5291	6767
724	5298	6759
725	5303	6750
726	5310	6742
727	5317	6734
728	5324	6726
729	5330	6717
730	5337	6710
731	5344	6702
732	5351	6695
733	5359	6688
734	5365	6680
735	5373	6672
736	5380	6665
737	5387	6657
738	5395	6650
739	5402	6643
740	5409	6635
741	5416	6628
742	5424	6621
743	5431	6613
744	5438	6606
745	5445	6598
746	5452	6590
747	5458	6582
748	5466	6575
749	5473	6567
750	5480	6560
751	5486	6552
752	5494	6545
753	5502	6538
754	5509	6531
755	5516	6523
756	5522	6514
757	5530	6507
758	5536	6499
759	5542	6490
760	5549	6482
761	5557	6476
762	5564	6469
763	5571	6461
764	5577	6452
765	5583	6443
766	5590	6436
767	5597	6428
768	5604	6420
769	5611	6412
770	5616	6403
771	5623	6395
772	5630	6388
773	5638	6381
774	5645	6373
775	5651	6365
776	5658	6357
777	5665	6349
778	5672	6342
779	5679	6334
780	5686	6326
781	5692	6318
782	5699	6310
783	5706	6303
784	5713	6296
785	5721	6289
786	5728	6281
787	5735	6274
788	5742	6266
789	5750	6260
790	5757	6252
791	5764	6244
792	5772	6237
793	5778	6230
794	5786	6222
795	5793	6215
796	5800	6208
797	5808	6201
798	5816	6194
799	5824	6188
800	5831	6180
801	5838	6173
802	5845	6165
803	5852	6158
804	5859	6151
805	5867	6143
806	5874	6136
807	5882	6130
808	5889	6122
809	5896	6115
810	5903	6107
811	5911	6100
812	5919	6094
813	5925	6085
814	5931	6077
815	5939	6070
816	5945	6062
817	5952	6054
818	5959	6046
819	5966	6039
820	5972	6030
821	5980	6023
822	5986	6015
823	5994	6008
824	6001	6001
825	6008	5993
826	6015	5986
827	6022	5978
828	6028	5970
829	6036	5963
830	6042	5955
831	6050	5948
832	6057	5941
833	6064	5933
834	6070	5925
835	6077	5917
836	6085	5910
837	6092	5903
838	6099	5896
839	6107	5888
840	6113	5880
841	6120	5873
842	6127	5865
843	6132	5856
844	6139	5848
845	6146	5841
846	6153	5834
847	6161	5827
848	6169	5820
849	6176	5813
850	6184	5806
851	6191	5799
852	6198	5791
853	6206	5784
854	6213	5777
855	6220	5769
856	6227	5762
857	6234	5755
858	6241	5747
859	6248	5739
860	6255	5732
861	6262	5724
862	6269	5717
863	6276	5710
864	6284	5703
865	6290	5694
866	6296	5686
867	6304	5679
868	6311	5672
869	6318	5664
870	6325	5657
871	6332	5649
872	6338	5641
873	6345	5633
874	6352	5626
875	6359	5619
876	6366	5611
877	6374	5604
878	6381	5597
879	6388	5590
880	6396	5583
881	6403	5575
882	6410	5568
883	6417	5560
884	6423	5552
885	6431	5545
886	6437	5537
887	6443	5529
888	6450	5521
889	6457	5514
890	6465	5507
891	6471	5499
892	6478	5491
893	6485	5484
894	6492	5477
895	6499	5469
896	6506	5462
897	6512	5454
898	6519	5446
899	6525	5438
900	6532	5430
901	6539	5422
902	6545	5414
903	6552	5407
904	6559	5399
905	6566	5392
906	6573	5385
907	6580	5377
908	6587	5370
909	6595	5363
910	6602	5355
911	6609	5348
912	6615	5340
913	6622	5332
914	6629	5325
915	6635	5316
916	6642	5309
917	6648	5301
918	6655	5294
919	6663	5287
920	6670	5279
921	6677	5272
922	6684	5264
923	6691	5257
924	6698	5249
925	6705	5242
926	6711	5234
927	6719	5227
928	6726	5220
929	6733	5213
930	6741	5206
931	6748	5199
932	6754	5191
933	6762	5183
934	6768	5176
935	6775	5168
936	6782	5160
937	6790	5154
938	6797	5147
939	6804	5139
940	6811	5132
941	6819	5125
942	6826	5118
943	6835	5111
944	6843	5105
945	6850	5098
946	6857	5090
947	6864	5083
948	6871	5076
949	6878	5068
950	6886	5061
951	6893	5054
952	6900	5046
953	6907	5039
954	6915	5032
955	6923	5025
956	6930	5018
957	6938	5011
958	6944	5004
959	6951	4996
960	6958	4989
961	6965	4981
962	6971	4973
963	6978	4965
964	6985	4958
965	6991	4950
966	6997	4942
967	7004	4935
968	7011	4927
969	7018	4920
970	7025	4913
971	7032	4905
972	7039	4898
973	7045	4890
974	7052	4882
975	7059	4875
976	7066	4867
977	7073	4860
978	7080	4852
979	7086	4845
980	7093	4837
981	7100	4829
982	7107	4822
983	7114	4815
984	7121	4808
985	7128	4800
986	7135	4793
987	7142	4785
988	7149	4778
989	7156	4770
990	7163	4763
991	7170	4756
992	7177	4748
993	7184	4741
994	7191	4734
995	7198	4726
996	7206	4719
997	7213	4712
998	7220	4705
999	7227	4698
1000	7234	4690
1001	7241	4682
1002	7248	4675
1003	7255	4668
1004	7261	4660
1005	7268	4652
1006	7275	4645
1007	7283	4638
1008	7290	4631
1009	7297	4624
1010	7302	4615
1011	7309	4608
1012	7317	4601
1013	7324	4594
1014	7332	4587
1015	7338	4579
1016	7346	4572
1017	7353	4565
1018	7360	4558
1019	7368	4551
1020	7375	4543
1021	7382	4536
1022	7389	4528
1023	7396	4521
1024	7402	4513
1025	7409	4506
1026	7416	4499
1027	7423	4491
1028	7430	4484
1029	7437	4477
1030	7444	4469
1031	7451	4462
1032	7459	4455
1033	7465	4447
1034	7471	4439
1035	7480	4433
1036	7488	4426
1037	7496	4419
1038	7504	4413
1039	7512	4406
1040	7519	4398
1041	7527	4392
1042	7534	4384
1043	7541	4377
1044	7549	4370
1045	7556	4363
1046	7563	4355
1047	7569	4348
1048	7576	4340
1049	7583	4333
1050	7590	4325
1051	7596	4318
1052	7604	4311
1053	7612	4304
1054	7619	4297
1055	7625	4289
1056	7632	4282
1057	7639	4274
1058	7646	4267
1059	7652	4259
1060	7659	4252
1061	7666	4244
1062	7673	4237
1063	7680	4230
1064	7687	4222
1065	7694	4215
1066	7702	4208
1067	7709	4201
1068	7716	4193
1069	7723	4186
1070	7730	4178
1071	7736	4171
1072	7743	4163
1073	7750	4156
1074	7757	4149
1075	7762	4141
1076	7769	4133
1077	7777	4126
1078	7786	4120
1079	7793	4113
1080	7801	4106
1081	7810	4100
1082	7817	4092
1083	7825	4086
1084	7832	4078
1085	7839	4071
1086	7847	4064
1087	7853	4056
1088	7861	4049
1089	7868	4042
1090	7874	4034
1091	7881	4027
1092	7887	4019
1093	7895	4012
1094	7902	4005
1095	7909	3998
1096	7916	3990
1097	7923	3983
1098	7931	3976
1099	7938	3969
1100	7945	3962
1101	7952	3954
1102	7960	3947
1103	7968	3940
1104	7977	3934
1105	7984	3927
1106	7993	3920
1107	7999	3913
1108	8006	3905
1109	8013	3898
1110	8020	3891
1111	8026	3883
1112	8033	3875
1113	8039	3868
1114	8046	3861
1115	8054	3853
1116	8060	3846
1117	8067	3838
1118	8074	3831
1119	8081	3824
1120	8088	3816
1121	8094	3809
1122	8101	3802
1123	8109	3794
1124	8115	3787
1125	8123	3780
1126	8130	3773
1127	8137	3765
1128	8144	3758
1129	8152	3751
1130	8158	3743
1131	8166	3736
1132	8173	3729
1133	8181	3722
1134	8189	3715
1135	8196	3708
1136	8203	3701
1137	8210	3693
1138	8216	3686
1139	8223	3679
1140	8230	3671
1141	8238	3664
1142	8245	3657
1143	8251	3649
1144	8258	3642
1145	8265	3634
1146	8272	3627
1147	8278	3620
1148	8284	3612
1149	8291	3605
1150	8298	3597
1151	8305	3590
1152	8311	3582
1153	8318	3575
1154	8323	3567
1155	8331	3560
1156	8338	3553
1157	8346	3546
1158	8353	3538
1159	8360	3531
1160	8367	3524
1161	8374	3516
1162	8381	3509
1163	8388	3502
1164	8396	3495
1165	8403	3488
1166	8411	3481
1167	8418	3474
1168	8424	3466
1169	8431	3459
1170	8438	3451
1171	8445	3444
1172	8453	3437
1173	8460	3430
1174	8467	3423
1175	8475	3415
1176	8481	3408
1177	8488	3401
1178	8495	3393
1179	8502	3386
1180	8508	3378
1181	8515	3371
1182	8523	3364
1183	8530	3357
1184	8537	3350
1185	8545	3343
1186	8552	3336
1187	8560	3328
1188	8568	3322
1189	8575	3314
1190	8583	3307
1191	8591	3300
1192	8598	3293
1193	8605	3286
1194	8613	3279
1195	8621	3272
1196	8628	3265
1197	8636	3258
1198	8643	3251
1199	8651	3244
1200	8659	3237
1201	8666	3230
1202	8673	3222
1203	8681	3215
1204	8689	3208
1205	8696	3201
1206	8704	3194
1207	8712	3187
1208	8721	3181
1209	8728	3174
1210	8736	3166
